mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.4,12,120082,500,200,-10,2,100,5,0.6094735329603649,0.6617576111313181,0.07461024498886418,1,0.0,1.0,1,1.0,7234,0.0,12.591199999999997,
calendar,calendar,,0.4,13,130082,500,200,-10,2,100,5,2.4468462247187936,2.2019800178807,0.25050505050505045,56,0.0,1.0,1,1.0,8118,0.0,12.591199999999997,
calendar,calendar,,0.4,14,140082,500,200,-10,2,100,5,2.0458094846870276,1.7728208472353362,0.11714589989350373,16,0.0,1.0,1,1.0,7445,0.0,12.591199999999997,
calendar,calendar,,0.4,15,150082,500,200,-10,2,100,5,0.8040876048793636,0.9938650301590932,0.21513944223107578,11,0.0,1.0,1,1.0,7964,0.0,12.591199999999997,
calendar,calendar,,0.4,16,160082,500,200,-10,2,100,5,8.566339837971329,6.623103383016782,0.36153071500503525,34,0.0,1.0,1,1.0,7619,0.0,12.591199999999997,
calendar,calendar,,0.4,17,170082,500,200,-10,2,100,5,2.0924154423926558,2.9847603428804286,0.41623843782117165,92,0.0,1.0,1,1.0,8866,0.0,12.591199999999997,
calendar,calendar,,0.4,18,180082,500,200,-10,2,100,5,2.2750856748872943,1.8095719592435162,0.08122270742358076,18,0.0,1.0,1,1.0,7262,0.0,12.591199999999997,
calendar,calendar,,0.4,19,190082,500,200,-10,2,100,5,3.0968777860322554,2.8354534698633884,0.23449612403100778,13,0.0,1.0,1,1.0,7873,0.0,12.591199999999997,
calendar,calendar,,0.4,20,200082,500,200,-10,2,100,5,1.8600174805022067,2.100090661984887,0.16871508379888261,20,0.0,1.0,1,1.0,7545,0.0,12.591199999999997,
calendar,calendar,,0.4,21,210082,500,200,-10,2,100,5,1.9473134060990318,1.6207593966906642,0.17884780739466893,48,0.0,1.0,1,1.0,7620,0.0,12.591199999999997,
calendar,calendar,,0.4,22,220082,500,200,-10,2,100,5,2.714753257809514,1.7699468989302642,0.32666666666666666,14,0.0,1.0,1,1.0,8311,0.0,12.591199999999997,
