run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
90,90041320,0.4,1,300,2,100,500,200,-10,8.855953711579533,10.789819628792428,0.3133841131664853,9,1.0,101.34,1.1027203482045702,-0.1027203482045702,0.4622028254023486,0.1673376978874841,0.9702248996440568,0.9230769230769232
91,91041320,0.4,1,300,2,100,500,200,-10,3.787283663079582,4.170707860622261,0.4940152339499456,13,1.0,68.934,0.7500979325353645,0.2499020674646355,0.4949677304510905,0.2125460429585904,0.9853960510158042,0.5785953177257525
92,92041320,0.4,1,300,2,100,500,200,-10,0.8470954481235097,1.6921981400318868,0.6119221411192215,300,1.0,53.9,0.6557177615571775,0.3442822384428224,0.5559841886927815,0.3216889781451311,0.9803271842338388,0.1638795986622073
93,93041320,0.4,1,300,2,100,500,200,-10,1.278614157596312,1.4446592355974963,0.3366120218579235,31,1.0,101.21,1.106120218579235,-0.1061202185792349,0.4375306018177134,0.1353264186573513,0.9552740091758524,0.0936454849498327
94,94041320,0.4,1,300,2,100,500,200,-10,3.912476885588726,3.959219452717776,0.124406457739791,29,0.9166666666666666,165.71800000000002,1.5737701804368474,-0.5737701804368474,0.270901704968375,0.1045211103448569,0.927064104550144,0.5819397993311036
95,95041320,0.4,1,300,2,100,500,200,-10,1.63464456943187,1.7400833425734583,0.169811320754717,19,1.0,97.104,1.0178616352201255,-0.0178616352201257,0.4175375947345818,0.1573970263845995,0.9618307033549564,0.3110367892976589
96,96041320,0.4,1,300,2,100,500,200,-10,4.794292378220146,5.543204114641374,0.1773547094188377,16,0.9533333333333334,87.90400000000001,0.880801603206413,0.119198396793587,0.3225235492701219,0.0446600977799784,0.9385003622936572,0.8561872909698997
97,97041320,0.4,1,300,2,100,500,200,-10,2.136876242017831,3.0683480319788363,0.1686626746506986,1,1.0,88.95,0.8877245508982036,0.1122754491017964,0.3220157552892986,0.2362323639213642,0.9715247229102854,0.5250836120401338
98,98041320,0.4,1,300,2,100,500,200,-10,7.914187584493582,7.673054014200942,0.436702649656526,20,1.0,97.862,0.9603729146221788,0.0396270853778213,0.4462239376854495,0.1092845834111932,0.974117370870562,0.8294314381270903
99,99041320,0.4,1,300,2,100,500,200,-10,2.909742408703702,2.032310502231109,0.4065040650406503,7,1.0,84.626,0.9828803716608596,0.0171196283391403,0.4145526086615704,0.0622279139523953,0.9493959253080332,0.3846153846153846
100,100041320,0.4,1,300,2,100,500,200,-10,1.0108142500042545,1.2943777860874046,0.4263059701492537,34,1.0,106.162,0.9903171641791044,0.0096828358208955,0.3095937969491252,0.070254985879005,0.9436180404166568,0.0936454849498327
101,101041320,0.4,1,300,2,100,500,200,-10,1.023056599155459,1.198412321070108,0.1122448979591836,5,1.0,98.818,1.0083469387755102,-0.0083469387755101,0.1501760540878457,0.0909177785312922,0.9687521003542422,0.0234113712374581
102,102041320,0.4,1,300,2,100,500,200,-10,0.9964891321371198,0.6157036683079621,0.1045454545454545,9,1.0,107.886,0.9807818181818184,0.0192181818181816,0.416223913377544,0.1300135214834467,0.9718299115264666,0.0
103,103041320,0.4,1,300,2,100,500,200,-10,1.6929165075666752,1.00818755279978,0.3709677419354839,13,1.0,116.274,1.172116935483871,-0.1721169354838709,0.578932497188696,0.1205233689802005,0.9638429743366655,0.0836120401337792
104,104041320,0.4,1,300,2,100,500,200,-10,1.1756892983408724,1.5677716582482004,0.099728014505893,19,1.0,159.10000000000002,1.4424297370806891,-0.4424297370806893,0.4667615578995877,0.355571049850262,0.9764694882542874,0.2374581939799331
105,105041320,0.4,1,300,2,100,500,200,-10,2.7739739636525274,4.825929967121675,0.1475409836065573,14,0.9633333333333334,88.99799999999999,0.9118647540983608,0.0881352459016393,0.3654287291903655,-0.0001561160095522,0.9510049310892866,0.8093645484949833
