hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.0,3,300,acf_abs_ret_5,1000,30,30,30,30,0.005980954951672834,0.006430782791252355,-0.06351056452938136,0.0807552719282261,0.888,False,True
0.0,3,300,vol_persistence,1000,30,30,30,30,0.004535312750895915,0.00436990498020047,-0.0045410748171075595,0.013286424253098967,0.322,False,True
0.0,3,300,high_vol_cluster_share,1000,30,30,30,30,-0.10222965440356746,-0.10384269788182832,-0.2777341137123744,0.07640468227424727,0.278,False,False
0.0,3,300,vol_ratio,1000,30,30,30,30,-0.20456649645554492,-0.2047688197853073,-1.2311357671745562,0.8163051703812249,0.686,False,False
0.0,3,600,acf_abs_ret_1,1000,30,30,30,30,-0.032758192459184876,-0.0302570230813416,-0.09892072765198259,0.04003655964615134,0.436,False,False
0.0,3,600,acf_abs_ret_5,1000,30,30,30,30,0.03016717666228691,0.030712581334694455,-0.04114323868922157,0.10459409267841484,0.396,False,True
0.0,3,600,vol_persistence,1000,30,30,30,30,0.0027124688176519696,0.0026797175045019266,-0.00633450115494856,0.012192704754231062,0.536,False,True
0.0,3,600,high_vol_cluster_share,1000,30,30,30,30,-0.07123745819397975,-0.07386120401337788,-0.2516248606465999,0.09578316610925287,0.432,False,False
0.0,3,600,vol_ratio,1000,30,30,30,30,-0.24238313516997856,-0.2516427251988343,-1.1864544789660811,0.6154035497361602,0.602,False,False
0.0,3,1000,acf_abs_ret_1,1000,30,30,30,30,0.0037198551753536147,0.001879476652913507,-0.07275467028201286,0.07402867612818566,0.96,False,True
0.0,3,1000,acf_abs_ret_5,1000,30,30,30,30,0.020713094563747092,0.02212784199309936,-0.044693511928814135,0.08694428255524479,0.498,False,True
0.0,3,1000,vol_persistence,1000,30,30,30,30,0.0015026051201473267,0.001436348459229731,-0.006871226342536121,0.010488983063483073,0.778,False,True
0.0,3,1000,high_vol_cluster_share,1000,30,30,30,30,0.06354515050167231,0.06570156075808256,-0.12012541806020074,0.2478678929765887,0.466,False,True
0.0,3,1000,vol_ratio,1000,30,30,30,30,-0.19366219506945592,-0.19983768577119693,-1.130529967894256,0.7043534525615031,0.672,False,False
0.0,5,300,acf_abs_ret_1,1000,30,30,30,30,0.07685617906254294,0.0774905208423551,0.004299739531892156,0.1498672737680836,0.038,True,True
0.0,5,300,acf_abs_ret_5,1000,30,30,30,30,0.0005336007908553764,0.0009887162666331391,-0.06297591669079024,0.0672432727584966,0.986,False,True
0.0,5,300,vol_persistence,1000,30,30,30,30,0.005509743621834651,0.0050432619702353385,-0.003331973183784398,0.013341757417830414,0.222,False,True
0.0,5,300,high_vol_cluster_share,1000,30,30,30,30,-0.13455964325529535,-0.1334691192865106,-0.300381828316611,0.04797101449275358,0.14,False,False
0.0,5,300,vol_ratio,1000,30,30,30,30,-0.4247202920178581,-0.4239355153555308,-1.261295834260609,0.3964017822696108,0.302,False,False
0.0,5,600,acf_abs_ret_1,1000,30,30,30,30,0.04779994278415001,0.048688932162985,-0.01612397948676976,0.11522897761873893,0.15,False,True
0.0,5,600,acf_abs_ret_5,1000,30,30,30,30,0.034562589666237986,0.03447947344334929,-0.030930493247198595,0.0972973177473212,0.284,False,True
0.0,5,600,vol_persistence,1000,30,30,30,30,0.004772926910987629,0.00466412558666759,-0.0029773393926890903,0.012113717088335101,0.23,False,True
0.0,5,600,high_vol_cluster_share,1000,30,30,30,30,-0.12419175027870688,-0.12339186176142694,-0.2829180602006688,0.04413043478260862,0.14,False,False
0.0,5,600,vol_ratio,1000,30,30,30,30,-0.20029575946883593,-0.1882594882754696,-0.9212982292561587,0.5918729411667276,0.6,False,False
0.0,5,1000,acf_abs_ret_1,1000,30,30,30,30,0.05969424976446508,0.059823312797543854,-0.022897456301344564,0.140012241238817,0.148,False,True
0.0,5,1000,acf_abs_ret_5,1000,30,30,30,30,0.024533487314918362,0.024408167648763975,-0.04653471873622707,0.09481546301905833,0.502,False,True
0.0,5,1000,vol_persistence,1000,30,30,30,30,0.003410863412222742,0.0032014024254745665,-0.005870777971974564,0.01227579583508794,0.476,False,True
0.0,5,1000,high_vol_cluster_share,1000,30,30,30,30,-0.05094760312151608,-0.0487688963210702,-0.23103121516164993,0.12955128205128208,0.618,False,False
0.0,5,1000,vol_ratio,1000,30,30,30,30,-0.07272983371504393,-0.0879587961060215,-1.0516421179513116,0.8767409986884616,0.852,False,False
